OTU_ID	M0	M1.5	M10	M11	M12	M13	M14	M15	M16	M17	M19	M20	M21	M22	M3.1	M3.2	M4	M5	M6	M7	M8.1	M8.2	M9	MEB	MSB
ID0000227M	0	0	100	201	388	409	394	472	1258	1252	1426	1291	1723	109	1	1	1	0	0	5	11	19	63	127	0
ID0000229M	0	0	0	0	1	4	6	3	1	18	0	4	0	33	2	0	2	0	0	2	0	0	0	0	0
ID0000231M	8	2	0	4	5	32	42	67	847	986	1608	1016	782	36	5	14	3	11	0	0	2	1	0	31	0
ID0000232M	771	560	336	264	204	96	55	38	14	5	13	6	0	0	588	419	409	231	693	547	316	354	597	103	0
ID0000233M	2	0	0	3	9	37	116	178	734	556	703	615	252	109	1	1	0	0	0	0	7	0	3	61	0
ID0000234M	144	29	371	172	110	86	20	29	15	16	13	15	113	7	61	328	637	126	441	284	388	322	377	8948	12290
ID0000235M	0	0	1	23	59	166	235	219	997	1059	1367	1096	1183	143	1	2	0	0	0	1	3	0	0	59	0
ID0000236M	1444	560	119	291	795	512	330	264	406	624	696	572	660	451	322	256	187	138	213	89	66	62	101	77	0
ID0000237M	1813	1293	12	14	0	5	0	0	1	0	3	6	0	1	1554	993	811	246	36	23	13	22	24	167	0
ID0000239M	34	28	81	441	236	129	96	109	299	297	511	365	590	270	72	82	127	77	72	46	39	50	96	3	41
ID0000241M	18	11	134	281	650	726	695	629	688	415	443	317	376	16	21	30	104	621	789	210	82	83	189	0	1
ID0000242M	279	317	125	17	7	1	10	8	28	34	57	44	90	198	560	602	374	258	1251	529	312	279	240	16	0
ID0000243M	22	26	80	20	24	8	6	2	6	31	34	5	0	661	63	29	71	48	56	54	82	71	112	307	0
ID0000244M	952	822	5187	4839	2314	755	360	145	193	135	154	143	44	125	3445	3747	4731	3310	3447	2195	1801	2188	7215	985	0
ID0000246M	93	73	18	14	23	20	17	23	18	28	30	24	68	925	253	195	270	150	29	46	30	44	64	81	0
ID0000249M	7	4	1	0	0	1	0	1	6	11	16	15	0	49	2	0	1	1	9	15	2	3	5	0	0
ID0000250M	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	285	0
ID0000251M	132	74	2559	1235	787	404	387	268	328	226	59	109	205	470	266	264	352	644	2083	2916	3198	3312	3518	51	0
ID0000252M	1214	1067	79	69	22	0	0	0	0	0	0	0	0	8	2671	4579	2636	4601	937	812	639	405	547	0	0
ID0000253M	13	47	563	849	975	719	608	603	1538	1490	3266	2467	1874	510	191	316	289	616	494	360	577	681	616	152	0
ID0000254M	525	374	213	34	27	19	5	4	4	13	11	8	0	238	499	667	733	197	134	149	117	152	122	6	0
ID0000255M	0	0	3	0	4	4	13	19	205	501	1475	2168	1785	442	0	0	0	1	0	0	2	0	0	27	0
ID0000256M	0	1	2010	19	12	0	1	2	0	0	0	0	0	0	1	0	5	2	1952	3082	2193	2415	2351	54	0
ID0000257M	0	0	0	22	71	182	219	265	278	389	198	111	197	18	0	0	0	1	0	0	0	0	0	4	0
ID0000258M	2	1959	0	0	0	0	0	0	0	0	0	0	0	23	33	535	0	2374	1122	971	7	723	0	0	0
ID0000259M	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	4	2	0	0	0	0	0
ID0000260M	0	0	0	0	2	16	20	62	345	502	549	579	469	20	0	0	0	0	0	0	0	0	0	8	0
ID0000261M	2989	2004	66	70	75	38	33	27	30	20	21	41	0	59	1843	940	795	356	91	101	135	111	160	137	0
ID0000264M	0	1	13	12	2	5	2	1	2	5	3	3	3	8	2	5	10	40	22	16	23	44	14	0	0
ID0000265M	0	0	78	29	63	73	169	194	184	94	141	195	266	4	0	0	2	9	119	76	77	58	36	0	0
ID0000268M	0	0	0	0	0	0	0	0	0	0	0	2	0	597	0	0	0	0	0	0	0	0	0	0	0
ID0000269M	29	21	184	88	33	41	13	11	6	4	3	2	21	0	27	123	218	63	161	157	208	146	180	4209	4140
ID0000271M	6	2	3	45	71	51	39	27	39	53	72	99	41	260	1	4	2	0	3	3	5	1	3	2	1
